START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
3/1/2015,1:05 PM,1:05 PM,Spartans,Bright House Field,3/1/2015,3/1/2015,4:05 PM,4:05 PM
3/3/2015,1:05 PM,1:05 PM,Yankees,Bright House Field,3/3/2015,3/3/2015,4:05 PM,4:05 PM
3/4/2015,1:05 PM,1:05 PM,Yankees,George M. Steinbrenner Field,3/4/2015,3/4/2015,4:05 PM,4:05 PM
3/5/2015,1:05 PM,1:05 PM,Astros,Osceola County Stadium,3/5/2015,3/5/2015,4:05 PM,4:05 PM
3/6/2015,1:05 PM,1:05 PM,Yankees,Bright House Field,3/6/2015,3/6/2015,4:05 PM,4:05 PM
3/7/2015,1:05 PM,1:05 PM,Blue Jays,Bright House Field,3/7/2015,3/7/2015,4:05 PM,4:05 PM
3/8/2015,1:05 PM,1:05 PM,Rays,Charlotte Sports Park,3/8/2015,3/8/2015,4:05 PM,4:05 PM
3/9/2015,1:05 PM,1:05 PM,Orioles,Ed Smith Stadium,3/9/2015,3/9/2015,4:05 PM,4:05 PM
3/10/2015,1:05 PM,1:05 PM,Tigers,Bright House Field,3/10/2015,3/10/2015,4:05 PM,4:05 PM
3/11/2015,1:05 PM,1:05 PM,Pirates,Bright House Field,3/11/2015,3/11/2015,4:05 PM,4:05 PM
3/12/2015,1:05 PM,1:05 PM,Tigers,Joker Marchant Stadium,3/12/2015,3/12/2015,4:05 PM,4:05 PM
3/13/2015,1:05 PM,1:05 PM,Rays,Bright House Field,3/13/2015,3/13/2015,4:05 PM,4:05 PM
3/14/2015,1:05 PM,1:05 PM,Tigers,Joker Marchant Stadium,3/14/2015,3/14/2015,4:05 PM,4:05 PM
3/15/2015,1:05 PM,1:05 PM,Red Sox,Bright House Field,3/15/2015,3/15/2015,4:05 PM,4:05 PM
3/15/2015,1:05 PM,1:05 PM,Yankees,George M. Steinbrenner Field,3/15/2015,3/15/2015,4:05 PM,4:05 PM
3/16/2015,1:05 PM,1:05 PM,Orioles,Bright House Field,3/16/2015,3/16/2015,4:05 PM,4:05 PM
3/17/2015,1:05 PM,1:05 PM,Rays,Bright House Field,3/17/2015,3/17/2015,4:05 PM,4:05 PM
3/19/2015,7:05 PM,7:05 PM,Yankees,George M. Steinbrenner Field,3/19/2015,3/19/2015,10:05 PM,10:05 PM
3/20/2015,1:05 PM,1:05 PM,Pirates,McKechnie Field,3/20/2015,3/20/2015,4:05 PM,4:05 PM
3/21/2015,1:05 PM,1:05 PM,Blue Jays,Bright House Field,3/21/2015,3/21/2015,4:05 PM,4:05 PM
3/22/2015,1:05 PM,1:05 PM,Red Sox,JetBlue Park,3/22/2015,3/22/2015,4:05 PM,4:05 PM
3/23/2015,1:05 PM,1:05 PM,Twins,Bright House Field,3/23/2015,3/23/2015,4:05 PM,4:05 PM
3/24/2015,1:05 PM,1:05 PM,Braves,Champion Stadium,3/24/2015,3/24/2015,4:05 PM,4:05 PM
3/25/2015,1:05 PM,1:05 PM,Astros,Bright House Field,3/25/2015,3/25/2015,4:05 PM,4:05 PM
3/26/2015,1:07 PM,1:07 PM,Blue Jays,Florida Auto Exchange Stadium,3/26/2015,3/26/2015,4:07 PM,4:07 PM
3/27/2015,1:05 PM,1:05 PM,Yankees,Bright House Field,3/27/2015,3/27/2015,4:05 PM,4:05 PM
3/28/2015,1:05 PM,1:05 PM,Twins,CenturyLink Sports Complex,3/28/2015,3/28/2015,4:05 PM,4:05 PM
3/29/2015,1:05 PM,1:05 PM,Tigers,Bright House Field,3/29/2015,3/29/2015,4:05 PM,4:05 PM
3/30/2015,1:05 PM,1:05 PM,Pirates,McKechnie Field,3/30/2015,3/30/2015,4:05 PM,4:05 PM
3/31/2015,1:07 PM,1:07 PM,Blue Jays,Florida Auto Exchange Stadium,3/31/2015,3/31/2015,4:07 PM,4:07 PM
4/1/2015,1:05 PM,1:05 PM,Braves,Bright House Field,4/1/2015,4/1/2015,4:05 PM,4:05 PM
4/2/2015,1:05 PM,1:05 PM,Rays,Bright House Field,4/2/2015,4/2/2015,4:05 PM,4:05 PM
4/3/2015,7:05 PM,7:05 PM,Pirates,Citizens Bank Park,4/3/2015,4/3/2015,10:05 PM,10:05 PM
4/4/2015,1:05 PM,1:05 PM,Pirates,Citizens Bank Park,4/4/2015,4/4/2015,4:05 PM,4:05 PM
4/6/2015,3:05 PM,3:05 PM,Red Sox,Citizens Bank Park,4/6/2015,4/6/2015,6:05 PM,6:05 PM
4/8/2015,7:05 PM,7:05 PM,Red Sox,Citizens Bank Park,4/8/2015,4/8/2015,10:05 PM,10:05 PM
4/9/2015,7:05 PM,7:05 PM,Red Sox,Citizens Bank Park,4/9/2015,4/9/2015,10:05 PM,10:05 PM
4/10/2015,7:05 PM,7:05 PM,Nationals,Citizens Bank Park,4/10/2015,4/10/2015,10:05 PM,10:05 PM
4/11/2015,7:05 PM,7:05 PM,Nationals,Citizens Bank Park,4/11/2015,4/11/2015,10:05 PM,10:05 PM
4/12/2015,1:35 PM,1:35 PM,Nationals,Citizens Bank Park,4/12/2015,4/12/2015,4:35 PM,4:35 PM
4/13/2015,1:10 PM,1:10 PM,Mets,Citi Field,4/13/2015,4/13/2015,4:10 PM,4:10 PM
4/14/2015,7:10 PM,7:10 PM,Mets,Citi Field,4/14/2015,4/14/2015,10:10 PM,10:10 PM
4/15/2015,7:10 PM,7:10 PM,Mets,Citi Field,4/15/2015,4/15/2015,10:10 PM,10:10 PM
